,Players,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Salaries
196,Willie Cauley-Stein,66,21.4,7.0,2.9,5.1,56.3,0.0,0.0,0.0,1.2,1.9,64.8,2.0,3.3,5.3,0.6,0.7,1.0,0.7,11.0,"$3,398,280"
197,Donald Sloan,61,21.6,7.0,2.5,5.7,44.0,0.6,1.6,38.4,1.3,1.7,75.0,0.3,2.6,2.8,4.4,0.5,0.1,1.3,9.8,"$947,276"
198,Patrick Patterson,79,25.6,6.9,2.6,6.2,41.4,1.3,3.7,36.2,0.4,0.4,85.3,1.0,3.4,4.3,1.2,0.7,0.4,0.8,8.9,"$6,268,675"
199,Wesley Johnson,80,20.8,6.9,2.6,6.4,40.4,1.3,3.9,33.3,0.4,0.6,65.2,0.5,2.6,3.1,0.6,1.1,0.7,0.7,7.7,"$1,100,602"
200,Kosta Koufos,78,19.0,6.8,3.0,5.7,53.2,0.0,0.0,0.0,0.7,1.3,54.8,2.2,3.3,5.4,0.4,0.5,0.9,0.6,10.2,"$7,700,000"
201,Vince Carter,60,16.8,6.6,2.2,5.7,38.8,1.0,2.8,34.9,1.2,1.4,83.3,0.5,1.9,2.4,0.9,0.6,0.3,0.6,6.5,"$4,088,019"
202,Ed Davis,81,20.8,6.5,2.5,4.2,61.1,0.0,0.0,0.0,1.4,2.5,55.9,2.8,4.6,7.4,1.1,0.7,0.9,0.8,13.0,"$6,980,802"
203,Justise Winslow,78,28.6,6.4,2.5,5.9,42.2,0.4,1.5,27.6,1.0,1.5,68.4,1.0,4.1,5.2,1.5,0.9,0.3,1.2,9.2,"$2,481,720"
204,Thabo Sefolosha,75,23.4,6.4,2.5,4.9,50.7,0.6,1.6,34.1,0.8,1.3,62.6,0.7,3.8,4.5,1.4,1.1,0.5,0.9,10.1,"$4,000,000"
205,Maurice Harkless,78,18.7,6.4,2.5,5.3,47.4,0.5,1.8,27.9,0.9,1.4,62.2,1.3,2.3,3.6,0.9,0.6,0.4,0.8,7.8,"$2,894,059"
206,Boris Diaw,76,18.2,6.4,2.7,5.0,52.7,0.3,0.9,36.2,0.7,1.0,73.7,0.8,2.3,3.1,2.3,0.3,0.3,1.3,8.5,"$7,500,000"
207,Leandro Barbosa,68,15.9,6.4,2.5,5.4,46.2,0.6,1.6,35.5,0.8,0.9,83.9,0.4,1.3,1.7,1.2,0.6,0.1,0.8,6.2,"$2,500,000"
208,Aron Baynes,81,15.2,6.3,2.4,4.7,50.5,0.0,0.0,0.0,1.6,2.0,76.4,1.7,3.0,4.7,0.6,0.3,0.6,0.8,9.0,"$6,500,000"
209,Shaun Livingston,78,19.5,6.3,2.6,4.9,53.6,0.0,0.2,16.7,1.0,1.2,86.0,0.5,1.6,2.2,3.0,0.7,0.3,1.0,9.1,"$5,543,725"
210,Timofey Mozgov,76,17.4,6.3,2.7,4.7,56.5,0.0,0.1,14.3,0.9,1.3,71.6,1.4,3.0,4.4,0.4,0.3,0.8,0.9,8.8,"$4,950,000"
211,PJ Hairston,66,19.9,6.2,2.2,6.2,35.5,1.1,3.7,29.0,0.8,1.0,78.1,0.4,2.3,2.6,0.6,0.5,0.2,0.6,5.3
212,Mike Scott,75,15.3,6.2,2.3,5.0,46.8,0.8,2.1,39.2,0.7,0.8,79.4,0.7,2.0,2.7,1.0,0.3,0.2,0.6,7.1,"$3,333,333"
213,Paul Pierce,68,18.1,6.1,2.1,5.8,36.3,1.1,3.6,31.0,0.8,1.0,81.8,0.2,2.6,2.7,1.0,0.5,0.3,0.9,5.9,"$3,376,000"
214,Trey Lyles,80,17.3,6.1,2.4,5.5,43.8,0.6,1.6,38.3,0.7,1.0,69.5,0.7,3.0,3.7,0.7,0.3,0.2,0.8,6.9,"$2,239,800"
215,T.J. McConnell,81,19.8,6.1,2.7,5.7,47.0,0.4,1.1,34.8,0.3,0.5,63.4,0.5,2.6,3.1,4.5,1.2,0.1,1.7,10.0,"$525,093"
216,Channing Frye,70,17.1,6.1,2.2,5.0,43.8,1.3,3.4,38.7,0.4,0.5,85.7,0.5,2.8,3.3,1.0,0.4,0.4,0.6,7.8,"$8,193,029"
217,Tyler Zeller,60,11.8,6.1,2.3,4.8,47.6,0.0,0.0,0.0,1.5,1.8,81.5,1.0,1.9,3.0,0.5,0.2,0.4,0.8,6.4,"$2,616,975"
218,Mario Hezonja,79,17.9,6.1,2.3,5.3,43.3,0.8,2.4,34.9,0.6,0.7,90.7,0.4,1.9,2.2,1.4,0.5,0.2,1.2,6.1,"$3,741,480"
219,Dante Cunningham,80,24.6,6.1,2.3,5.2,45.1,0.7,2.2,31.6,0.7,1.0,69.5,0.7,2.2,3.0,1.0,0.5,0.4,0.5,7.3,"$2,850,000"
220,Alexis Ajinca,59,14.6,6.0,2.5,5.3,47.6,0.0,0.0,0.0,0.9,1.1,83.9,1.3,3.3,4.6,0.5,0.3,0.6,0.9,8.1,"$4,389,607"
221,Roy Hibbert,81,23.2,5.9,2.2,5.1,44.3,0.0,0.0,0.0,1.4,1.8,80.7,1.6,3.3,4.9,1.2,0.4,1.4,0.9,9.7,"$15,592,217"
222,Raul Neto,81,18.5,5.9,2.2,5.2,43.1,0.8,2.0,39.5,0.6,0.9,74.3,0.2,1.3,1.5,2.1,0.8,0.0,1.3,5.8,"$900,000"
223,Jason Terry,72,17.5,5.9,2.1,5.2,40.2,1.3,3.6,35.6,0.4,0.5,81.8,0.2,0.9,1.1,1.4,0.7,0.1,0.7,5.3,"$947,276"
224,Trevor Booker,79,20.7,5.9,2.4,4.9,49.0,0.2,0.5,29.3,0.9,1.3,67.0,2.1,3.6,5.7,1.1,0.7,0.5,1.0,9.9,"$4,775,000"
225,Markel Brown,62,15.8,5.9,2.0,5.2,39.4,0.6,2.0,31.4,1.1,1.5,75.5,0.4,1.6,2.0,1.5,0.6,0.2,0.9,5.8,"$845,059"
226,Randy Foye,81,20.3,5.9,2.1,6.0,35.1,0.9,3.1,30.0,0.8,0.9,82.4,0.3,1.6,1.9,2.0,0.5,0.4,1.1,5.5,"$3,135,000"
227,Dwight Powell,69,14.4,5.8,2.1,4.3,49.3,0.0,0.2,12.5,1.5,2.1,73.9,1.2,2.7,4.0,0.6,0.5,0.3,0.6,8.0,"$845,059"
228,Ty Lawson,66,21.4,5.7,2.1,5.4,39.3,0.5,1.6,33.3,0.9,1.3,68.6,0.4,1.4,1.8,3.6,0.8,0.1,1.4,6.9,"$211,744"
229,Jerian Grant,76,16.6,5.6,2.0,5.1,39.4,0.3,1.3,22.0,1.3,1.6,78.0,0.3,1.6,1.9,2.3,0.7,0.1,1.1,6.0,"$1,572,360"
230,Anthony Morrow,68,13.6,5.6,2.0,4.9,40.8,1.2,3.0,38.7,0.4,0.6,74.4,0.1,0.8,0.9,0.4,0.3,0.1,0.3,4.0,"$3,344,000"
231,Richard Jefferson,74,17.9,5.5,1.9,4.2,45.8,0.9,2.3,38.2,0.8,1.2,66.7,0.2,1.5,1.7,0.8,0.4,0.2,0.6,5.4,"$947,276"
232,Larry Nance Jr.,63,20.1,5.5,2.5,4.8,52.7,0.0,0.2,10.0,0.5,0.7,68.1,1.6,3.3,5.0,0.7,0.9,0.4,0.7,9.3,"$1,155,600"
233,Bismack Biyombo,82,22.0,5.5,1.9,3.5,54.2,0.0,0.0,0.0,1.7,2.8,62.8,2.2,5.8,8.0,0.4,0.2,1.6,0.9,12.2,"$2,814,000"
234,Cole Aldrich,60,13.3,5.5,2.2,3.8,59.6,0.0,0.0,0.0,1.0,1.4,71.4,1.4,3.4,4.8,0.8,0.8,1.1,1.1,10.0,"$1,100,602"
235,Lavoy Allen,79,20.2,5.4,2.4,4.7,51.6,0.0,0.0,0.0,0.6,0.9,63.0,2.1,3.3,5.4,1.0,0.3,0.5,0.9,9.1,"$4,050,000"
236,Andrew Bogut,70,20.7,5.4,2.5,4.0,62.7,0.0,0.0,100,0.3,0.7,48.0,1.7,5.3,7.0,2.3,0.5,1.6,1.2,13.8,"$13,800,000"
237,Ronnie Price,62,19.5,5.3,1.9,4.9,38.4,1.1,3.2,34.7,0.5,0.7,75.6,0.4,1.2,1.6,2.4,1.2,0.2,1.1,6.4,"$947,276"
238,Anthony Tolliver,72,18.6,5.3,1.8,4.6,38.6,1.4,3.8,36.0,0.4,0.7,61.7,0.5,2.6,3.2,0.7,0.4,0.2,0.4,6.3,"$3,000,000"
239,Tony Snell,64,20.3,5.3,2.0,5.3,37.2,0.9,2.4,36.1,0.5,0.5,90.9,0.3,2.8,3.1,1.0,0.3,0.3,0.8,5.7,"$1,535,880"
240,Quincy Acy,59,14.8,5.2,2.0,3.6,55.6,0.3,0.8,38.8,0.8,1.2,73.5,1.1,2.1,3.2,0.5,0.5,0.4,0.5,7.4,"$981,348"
241,Miles Plumlee,61,14.3,5.1,2.3,3.8,60.1,0.0,0.0,0.0,0.6,1.0,57.6,1.5,2.3,3.8,0.3,0.3,0.8,0.7,7.8,"$2,109,294"
242,Charlie Villanueva,62,10.7,5.1,2.0,5.3,38.2,0.8,2.8,27.3,0.4,0.4,91.7,0.4,2.1,2.5,0.4,0.3,0.2,0.5,4.7,"$947,276"
243,Nemanja Bjelica,60,17.9,5.1,1.8,3.9,46.8,0.8,2.1,38.4,0.7,0.9,72.7,0.8,2.7,3.5,1.4,0.4,0.4,0.8,7.7,"$3,950,001"
244,JaKarr Sampson,73,15.9,5.1,1.9,4.3,44.2,0.2,0.9,22.2,1.1,1.7,65.6,0.6,2.0,2.6,0.6,0.3,0.5,1.0,5.2,"$258,489"
245,Sasha Vujacic,61,14.9,4.9,1.7,4.5,38.3,0.9,2.3,36.4,0.5,0.6,82.1,0.4,2.0,2.4,1.4,0.6,0.1,0.7,5.7,"$947,276"
246,Andre Roberson,70,22.2,4.8,1.9,3.9,49.6,0.5,1.5,31.1,0.5,0.8,61.1,1.1,2.5,3.6,0.7,0.8,0.6,0.5,7.7,"$1,210,800"
247,Kyle O'Quinn,65,11.8,4.8,2.0,4.2,47.6,0.1,0.3,22.7,0.7,0.9,76.7,1.2,2.7,3.8,1.1,0.3,0.8,0.9,7.4,"$3,750,000"
248,Kyle Anderson,78,16.0,4.5,1.8,3.8,46.8,0.2,0.5,32.4,0.8,1.1,74.7,0.3,2.8,3.1,1.6,0.8,0.4,0.8,7.3,"$1,142,880"
249,Alonzo Gee,73,22.4,4.5,1.8,3.5,51.8,0.2,0.8,28.3,0.6,0.9,66.7,0.8,2.5,3.4,1.0,0.9,0.2,0.8,7.1,"$1,320,000"
250,Dewayne Dedmon,58,12.2,4.4,1.7,3.1,55.9,0.0,0.0,0.0,1.0,1.3,75.0,1.2,2.8,3.9,0.2,0.4,0.8,0.6,7.5,"$947,276"
251,Steve Blake,58,17.0,4.4,1.6,4.1,38.8,0.9,2.6,34.4,0.3,0.3,80.0,0.2,1.4,1.5,3.4,0.4,0.1,1.4,5.9,"$2,170,465"
252,Jonas Jerebko,78,15.1,4.4,1.5,3.7,41.3,0.6,1.4,39.8,0.8,1.0,78.2,1.0,2.7,3.7,0.8,0.3,0.3,0.7,6.4,"$5,000,000"
253,Thomas Robinson,71,12.9,4.3,1.8,4.1,44.7,0.0,0.0,0.0,0.7,1.5,43.1,1.9,3.1,5.1,0.6,0.5,0.5,1.0,7.0,"$981,348"
254,Brandon Rush,72,14.7,4.2,1.5,3.6,42.7,0.9,2.2,41.4,0.3,0.4,64.3,0.3,2.2,2.5,0.8,0.3,0.3,0.5,5.5,"$1,270,964"
255,Joe Ingles,81,15.3,4.2,1.5,3.6,42.6,1.0,2.6,38.6,0.2,0.2,72.2,0.2,1.6,1.9,1.2,0.7,0.0,0.8,5.1,"$2,050,000"
256,Solomon Hill,59,14.7,4.2,1.6,3.5,44.7,0.4,1.3,32.4,0.6,0.7,85.7,0.7,2.2,2.8,1.0,0.6,0.2,0.6,6.2,"$1,358,880"
257,Chase Budinger,66,14.1,4.1,1.6,3.6,43.5,0.4,1.3,27.9,0.6,0.8,69.6,0.7,1.6,2.3,1.0,0.5,0.2,0.7,5.0,"$206,192"
258,Omer Asik,68,17.3,4.0,1.5,2.9,53.3,0.0,0.0,0.0,0.9,1.6,54.5,1.8,4.3,6.1,0.4,0.3,0.3,0.9,8.1,"$9,213,483"
259,Kelly Oubre Jr.,63,10.7,3.7,1.4,3.3,42.7,0.4,1.3,31.6,0.5,0.8,63.3,0.4,1.7,2.1,0.2,0.3,0.1,0.5,3.8,"$1,920,240"
260,Noah Vonleh,78,15.1,3.6,1.5,3.6,42.1,0.1,0.6,23.9,0.5,0.7,74.5,1.2,2.7,3.9,0.4,0.3,0.3,0.6,5.7,"$2,637,720"
261,Ian Clark,66,8.8,3.6,1.3,3.1,44.1,0.5,1.3,35.7,0.4,0.5,82.4,0.2,0.8,1.0,1.0,0.3,0.2,0.7,3.6,"$947,276"
262,Kyle Singler,68,14.4,3.4,1.3,3.3,38.9,0.4,1.4,30.9,0.4,0.6,65.9,0.7,1.3,2.1,0.4,0.4,0.1,0.5,3.7,"$4,500,000"
263,Mike Muscala,60,9.4,3.3,1.3,2.5,50.0,0.2,0.7,30.8,0.5,0.7,79.5,0.6,1.3,2.0,0.6,0.2,0.5,0.5,4.6,"$947,276"
264,Rashad Vaughn,70,14.3,3.1,1.2,3.8,30.5,0.6,2.1,29.3,0.2,0.2,80.0,0.2,1.1,1.3,0.6,0.4,0.2,0.4,2.5,"$1,733,040"
265,Luc Mbah a Moute,75,17.0,3.1,1.3,2.8,45.4,0.2,0.5,32.5,0.4,0.8,52.6,0.8,1.5,2.3,0.4,0.6,0.3,0.5,4.3,"$947,276"
266,Johnny O'Bryant III,66,13.0,3.0,1.3,3.2,41.1,0.0,0.0,100,0.4,0.6,67.5,1.0,1.7,2.7,0.5,0.3,0.1,0.5,4.0,"$845,059"
267,Chris Johnson,70,12.2,2.9,1.0,2.8,37.1,0.4,1.4,27.3,0.5,0.6,81.0,0.4,1.5,1.9,0.6,0.5,0.3,0.6,3.8,"$981,348"
268,Tayshaun Prince,77,19.0,2.9,1.3,3.0,44.5,0.1,0.3,17.4,0.2,0.2,68.4,0.4,1.5,1.9,1.0,0.5,0.2,0.4,4.3,"$947,276"
269,Pablo Prigioni,59,13.9,2.5,0.9,2.5,37.4,0.5,1.6,29.5,0.1,0.1,87.5,0.6,1.3,1.9,2.2,0.9,0.0,0.8,5.1,"$947,726"
270,Nick Collison,59,11.8,2.1,0.8,1.8,45.9,0.0,0.0,0.0,0.4,0.6,69.7,1.2,1.7,2.9,0.9,0.3,0.3,0.8,4.4,"$3,750,000"
